Station_ID,Start_Latitude,Start_Longitude,Sample_ID,Sample_Depth,HgP_pmol_ug,MMHgP_pmol_ug,,,
1,60.224,-179.049,10511,491,0.000312845,1.34E-05,,,
1,60.224,-179.049,10510,395,0.000301216,1.56E-05,,,
1,60.224,-179.049,10509,274,0.000846518,1.34E-05,,,
1,60.224,-179.049,10506,19,0.000689704,2.92E-05,,,
1,60.224,-179.049,10507,41,0.000857484,0.000167209,,,
1,60.224,-179.049,10508,123,0.001090412,0.000958784,,,
2,62.202,-171.585,10571,44,0.000225972,2.01E-06,,,
2,62.202,-171.585,10570,19,0.000207513,2.95E-07,,,
3,64.011,-166.645,10597,9,0.000678338,1.87E-05,,,
3,64.011,-166.645,10598,26,0.000375633,5.10E-07,,,
6,68.09,-168.106,10663,46,0.000314041,1.26E-06,,,
6,68.09,-168.106,10662,30,0.000293999,1.67E-06,,,
6,68.09,-168.106,10661,15,0.000200739,2.08E-06,,,
10,74.992,-170.111,10731,258,0.000608727,2.49E-05,,,
10,74.992,-170.111,10730,213,0.000316398,4.11E-05,,,
10,74.992,-170.111,10729,196,0.000411781,1.44E-05,,,
10,74.992,-170.111,10727,81,0.000378,0.00018522,,,
10,74.992,-170.111,10726,44,0.000474276,0.000121731,,,
10,74.992,-170.111,10728,121,0.000794827,5.41E-05,,,
10,74.992,-170.111,10725,20,0.022876665,0.000125556,,,
14,76.537,-173.097,10798,59,0.696412315,0.004766115,,,
14,76.567,-173.166,10847,2072,0.005042894,0.000137375,,,
14,76.567,-173.166,10843,655,0.006800058,0.000156924,,,
14,76.567,-173.166,10848,2133,0.005119579,0.000318304,,,
14,76.567,-173.166,10844,981,0.011042098,0.000581025,,,
14,76.537,-173.097,10801,212,0.007600477,0.000562846,,,
14,76.537,-173.097,10803,386,0.000638165,2.69E-05,,,
14,76.537,-173.097,10797,20,62634.73054,394.011976,,,
14,76.537,-173.097,10802,283,0.003001346,4.67E-05,,,
14,76.537,-173.097,10799,155,0.003246353,5.84E-05,,,
14,76.537,-173.097,10800,176,0.006479726,0.00035933,,,
14,76.567,-173.166,10842,48,0.001040923,2.60E-06,,,
14,76.537,-173.097,10804,493,0.000993915,5.27E-05,,,
14,76.567,-173.166,10845,1368,0.000898165,6.19E-05,,,
14,76.567,-173.166,10846,1725,0.001,9.53E-05,,,
14,76.567,-173.166,10849,2194,0.001795288,0.000189196,,,
19,79.975,-175.013,10954,1917,0.001864243,0.000305736,,,
19,79.975,-175.013,10952,1528,0.001507871,0.000262735,,,
19,79.986,-174.976,10909,174,0.002334464,0.000226342,,,
19,79.986,-174.976,10908,153,0.003011494,0.000230881,,,
19,79.986,-174.976,10907,102,0.007655479,0.000229664,,,
19,79.986,-174.976,10905,49,0.009755511,0.000122511,,,
19,79.986,-174.976,10910,256,0.007427065,0.000151102,,,
19,79.986,-174.976,10906,77,0.007236297,0.00014731,,,
19,79.986,-174.976,10911,409,0.00332003,5.43E-05,,,
19,79.975,-175.013,10948,505,0.002247501,2.05E-05,,,
19,79.986,-174.976,10904,26,0.010962172,3.60E-05,,,
19,79.975,-175.013,10950,1016,0.004654964,2.70E-05,,,
19,79.975,-175.013,10951,1262,0.00701245,5.40E-05,,,
19,79.975,-175.013,10949,709,0.006103469,4.31E-05,,,
19,79.975,-175.013,10953,1702,0.003977204,5.40E-05,,,
19,79.975,-175.013,10955,1969,0.004131416,0.000105163,,,
26,83.713,174.211,11059,2752,0.006385207,0.000155799,,,
26,83.755,174.817,11012,73,0.003936712,6.95E-06,,,
26,83.755,174.817,11010,25,0.006541727,0.000139755,,,
26,83.755,174.817,11016,367,0.005624665,0.000104994,,,
26,83.755,174.817,11014,147,0.003536927,2.21E-05,,,
26,83.755,174.817,11015,210,0.003570254,8.44E-05,,,
26,83.755,174.817,11011,55,0.003449968,9.20E-05,,,
26,83.713,174.211,11054,745,0.00150659,0.000113391,,,
26,83.755,174.817,11013,100,0.024997383,0,,,
26,83.713,174.211,11058,2523,0.004143698,3.45E-05,,,
26,83.713,174.211,11055,1242,0.008953233,7.26E-06,,,
26,83.713,174.211,11057,2235,0.006315002,6.92E-06,,,
26,83.713,174.211,11061,2901,0.00721404,0,,,
26,83.713,174.211,11056,1803,0.006458642,1.61E-05,,,
26,83.755,174.817,11017,524,0.003821333,4.72E-05,,,
26,83.713,174.211,11060,2831,0.003864774,5.72E-05,,,
30,87.586,178.927,11147,226,0.005760947,0.000133857,,,
30,87.53,-180,11121,178,0.007720183,0.000157913,,,
30,87.53,-180,11122,229,0.007530944,9.41E-05,,,
30,87.586,178.927,11148,261,0.008314907,0.000119527,,,
30,87.586,178.927,11149,376,0.016385008,0,,,
30,87.53,-180,11119,102,0.012549912,0.00015212,,,
30,87.673,-179.521,11200,2886,0.008090599,3.33E-05,,,
30,87.586,178.927,11151,802,0.008857153,5.21E-05,,,
30,87.53,-180,11120,127,0.007549929,0.000120799,,,
30,87.673,-179.521,11198,1891,0.007692071,0.000262812,,,
30,87.673,-179.521,11201,3384,0.010724153,0.000285977,,,
30,87.53,-180,11118,73,0.005155219,5.62E-05,,,
30,87.673,-179.521,11199,2389,0.00405401,4.05E-05,,,
30,87.673,-179.521,11204,3902,0.007953589,5.02E-05,,,
30,87.673,-179.521,11202,3778,0.032592534,0.000137037,,,
30,87.673,-179.521,11203,3852,0.004064961,1.30E-05,,,
30,87.586,178.927,11153,1403,0.008805255,3.06E-05,,,
30,87.53,-180,11115,24,0.009233123,0.000104851,,,
30,87.53,-180,11116,41,0.009214947,0.000238751,,,
30,87.586,178.927,11152,1002,0.003392523,0.000167841,,,
30,87.586,178.927,11154,1905,0.00631878,0.000150071,,,
30,87.53,-180,11117,57,0.004744374,0.000131035,,,
30,87.586,178.927,11150,501,0.005421615,7.72E-05,,,
32,89.989,37.843,11265,277,0.006671963,6.67E-05,,,
32,89.989,37.843,11266,353,0.003834266,3.67E-05,,,
32,89.989,37.843,11267,504,0.002309129,3.26E-05,,,
32,89.989,37.843,11264,151,0.004966467,6.62E-05,,,
32,89.989,37.843,11268,756,0.003278102,2.95E-05,,,
32,89.989,37.843,11261,20,0.002546852,2.38E-05,,,
32,89.997,43.098,11305,1299,0.002145634,0,,,
32,89.997,43.098,11309,3223,0.013830073,1.31E-05,,,
32,89.989,37.843,11262,60,0.008947267,1.94E-05,,,
32,89.989,37.843,11263,101,0.008934541,3.41E-05,,,
32,89.997,43.098,11308,2798,0.006371382,2.91E-05,,,
32,89.997,43.098,11307,2348,0.013793845,0.000214571,,,
32,89.997,43.098,11306,1899,0.005349657,6.62E-05,,,
32,89.997,43.098,11310,3647,0.007642389,4.15E-05,,,
32,89.997,43.098,11311,4157,0.005095089,7.73E-05,,,
32,89.997,43.098,11312,4197,0.003524616,8.13E-05,,,
38,87.826,-149.501,11391,152,0.003491546,5.24E-05,,,
38,87.826,-149.501,11392,203,0.002144773,2.41E-05,,,
38,87.826,-149.501,11394,507,0.00384445,9.61E-05,,,
38,87.816,-147.741,11431,797,0.002849604,3.26E-05,,,
38,87.826,-149.501,11389,64,0.004183722,7.11E-05,,,
38,87.826,-149.501,11393,385,0.000392846,3.14E-05,,,
38,87.816,-147.741,11434,1668,0.012667978,1.75E-05,,,
38,87.826,-149.501,11390,101,0.008499056,6.84E-05,,,
38,87.826,-149.501,11388,46,0.010211555,7.01E-05,,,
38,87.816,-147.741,11432,996,0.006859304,8.43E-05,,,
38,87.816,-147.741,11436,2548,0.00459651,0.000143943,,,
38,87.826,-149.501,11387,20,0.004623816,0.000127554,,,
38,87.816,-147.741,11433,1220,0.00448373,9.12E-05,,,
38,87.816,-147.741,11435,2141,0.005699017,0.000136776,,,
38,87.816,-147.741,11438,2672,0.005260767,0.000117356,,,
38,87.816,-147.741,11437,2623,0.006191603,0.000100245,,,
43,85.135,-149.995,11545,141,0.004882517,2.79E-05,,,
43,85.135,-149.995,11546,226,0.006743784,0.000182082,,,
43,85.135,-149.995,11544,100,0.007071121,0.000169707,,,
43,85.135,-149.995,11548,502,0.004277881,0.000188227,,,
43,85.135,-149.995,11542,55,0.00218334,3.37E-05,,,
43,85.135,-149.995,11547,331,0.002302642,4.77E-05,,,
43,85.161,-150.077,11614,600,0.022670229,0.000104049,,,
43,85.135,-149.995,11543,75,0.017209347,7.62E-05,,,
43,85.161,-150.077,11619,2041,0.008841772,0.000150143,,,
43,85.161,-150.077,11615,850,0.011101675,0,,,
43,85.135,-149.995,11541,20,0.003808651,0.000122539,,,
43,85.161,-150.077,11621,2166,0.020452486,0.000477225,,,
43,85.161,-150.077,11617,1400,0.007158408,0.000334059,,,
43,85.161,-150.077,11618,1801,0.016863396,0.000618325,,,
43,85.161,-150.077,11620,2141,0.01300567,0.000278693,,,
43,85.161,-150.077,11616,1000,0.002610597,0.00012074,,,
46,82.484,-149.877,11674,68,0.005118997,0.000216135,,,
46,82.548,-149.43,11738,20,0.016989757,2.73E-05,,,
46,82.548,-149.43,11739,447,0.003285048,2.31E-05,,,
46,82.484,-149.877,11676,126,0.006794754,5.65E-05,,,
46,82.548,-149.43,11740,895,0.006421589,6.69E-05,,,
46,82.484,-149.877,11673,50,0.006125667,7.43E-05,,,
46,82.484,-149.877,11678,298,0.004842518,0.000112095,,,
46,82.548,-149.43,11742,1888,0.00464703,0.000154901,,,
46,82.548,-149.43,11741,1391,0.007123705,3.81E-05,,,
46,82.548,-149.43,11745,2654,0.005096092,0.000127995,,,
46,82.548,-149.43,11744,2485,0.010153836,0.000136023,,,
46,82.548,-149.43,11743,2187,0.013887156,0.000138872,,,
46,82.484,-149.877,11677,203,0.015566046,0.000131082,,,
46,82.484,-149.877,11679,451,0.020772864,0.000163996,,,
46,82.484,-149.877,11675,90,0.013997253,0.000103683,,,
46,82.484,-149.877,11672,18,0.010919168,8.49E-05,,,
48,80.473,-148.939,11850,3230,0.009005727,9.01E-05,,,
48,80.384,-149.767,11769,193,0.030363006,0.000190853,,,
48,80.384,-149.767,11768,152,0.019215897,0.000151704,,,
48,80.384,-149.767,11770,269,0.010733362,0.000157844,,,
48,80.384,-149.767,11767,122,0.007325973,7.33E-05,,,
48,80.384,-149.767,11766,91,0.007202796,6.65E-05,,,
48,80.423,-149.398,11796,343,0.006759034,4.16E-05,,,
48,80.384,-149.767,11765,66,0.007453261,5.80E-05,,,
48,80.423,-149.398,11797,419,0.022808651,3.68E-05,,,
48,80.423,-149.398,11798,505,0.00332129,0,,,
48,80.384,-149.767,11763,20,0.004971301,3.71E-05,,,
48,80.423,-149.398,11799,717,0.008502937,9.37E-05,,,
48,80.423,-149.398,11795,268,0.010499178,0.000112341,,,
48,80.384,-149.767,11764,49,0.006758803,0.000129769,,,
48,80.473,-148.939,11848,2398,0.009373254,0.000241027,,,
48,80.423,-149.398,11802,1767,0.007726789,0.000199113,,,
48,80.423,-149.398,11800,1060,0.014586733,0.00010805,,,
48,80.473,-148.939,11846,1713,0.010342465,9.40E-05,,,
48,80.473,-148.939,11847,2055,0.006221726,0.000124435,,,
48,80.473,-148.939,11849,2838,0.037365887,0.001195708,,,
48,80.423,-149.398,11801,1413,0.011229278,6.42E-05,,,
48,80.473,-148.939,11853,3700,0.004099603,4.84E-05,,,
48,80.473,-148.939,11851,3577,0.008038403,0.00092944,,,
48,80.473,-148.939,11852,3651,0.012279989,6.91E-06,,,
52,77.46,-147.933,11970,3670,0.00683814,6.19E-05,,,
52,77.512,-148.014,11923,151,0.022085381,7.36E-05,,,
52,77.512,-148.014,11924,246,0.018020073,0.000210234,,,
52,77.512,-148.014,11925,453,0.012359143,7.97E-05,,,
52,77.512,-148.014,11921,60,0.019286679,0.000207229,,,
52,77.512,-148.014,11922,90,0.012322397,7.07E-05,,,
52,77.512,-148.014,11926,603,0.006376912,0,,,
52,77.512,-148.014,11919,19,0.038843143,5.69E-05,,,
52,77.46,-147.933,11967,2759,0.008905688,4.28E-05,,,
52,77.46,-147.933,11963,871,0.009871141,0.000136222,,,
52,77.46,-147.933,11965,1984,0.011266686,0.000310346,,,
52,77.46,-147.933,11969,3622,0.006011875,0.000130808,,,
52,77.46,-147.933,11964,1452,0.004676256,0.000148381,,,
52,77.46,-147.933,11968,3194,0.004426709,6.52E-05,,,
52,77.512,-148.014,11920,36,0.16609673,0.041779716,,,
52,77.46,-147.933,11966,2371,0.003120804,4.82E-05,,,
56,75.058,-150.326,12064,288,0.001969122,1.38E-05,,,
56,75.058,-150.326,12062,207,0.004214081,0,,,
56,75.058,-150.326,12060,86,0.002763413,9.40E-05,,,
56,75.058,-150.326,12063,238,0.005006969,0.0001561,,,
56,75.058,-150.326,12061,136,0.002687754,0.000105443,,,
56,75.058,-150.326,12065,390,0.001076828,8.26E-06,,,
56,75.058,-150.326,12059,56,0.004516033,4.03E-05,,,
56,75.058,-150.326,12066,593,0.001427703,9.77E-06,,,
57,73.451,-156.691,12196,939,0.001176697,3.75E-05,,,
57,73.404,-156.773,12173,171,0.00153468,4.96E-05,,,
57,73.404,-156.773,12174,217,0.001499946,5.13E-05,,,
57,73.404,-156.773,12175,281,0.001361639,2.46E-05,,,
57,73.404,-156.773,12172,97,0.000324371,2.80E-06,,,
57,73.404,-156.773,12170,18,0.002418167,1.13E-05,,,
57,73.404,-156.773,12177,610,0.000944892,1.51E-06,,,
57,73.404,-156.773,12176,408,0.000540465,1.06E-06,,,
57,73.451,-156.691,12203,3469,0.003716291,7.55E-06,,,
57,73.404,-156.773,12171,61,0.00067867,1.57E-06,,,
57,73.451,-156.691,12201,3272,,,,,
57,73.451,-156.691,12200,2864,,,,,
57,73.451,-156.691,12202,3420,,,,,
57,73.451,-156.691,12197,1285,,,,,
57,73.451,-156.691,12198,1977,,,,,
57,73.451,-156.691,12199,2369,,,,,
60,73,-158.766,12243,123,,,,,
60,73,-158.766,12247,591,,,,,
60,73,-158.766,12244,215,,,,,
60,73,-158.766,12245,300,,,,,
60,73,-158.766,12242,98,,,,,
60,73,-158.766,12240,22,,,,,
60,73,-158.766,12241,39,,,,,
60,73,-158.766,12246,371,,,,,
61,72.805,-159.638,12276,68,,,,,
61,72.805,-159.638,12274,19,,,,,
61,72.805,-159.638,12275,45,,,,,
66,71.999,-162.489,12313,31,,,,,
66,71.999,-162.489,12312,12,,,,,
