Station_ID,Start_Latitude,Start_Longitude,Sample_Depth,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_kg,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,TRANSM,FLUORM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,SILCAT,NITRAT,PHSPHT
10,74.999,-170.042,44,0.04,0.94,,0.026,0.000474276,0.000121731,1.838843524,0.04,0.94,,0.026,4.3208,0.527,44.3,-1.2086,31.7411,399.2,25.65,6.8,1.34
10,74.999,-170.042,44,0.04,0.94,,0.026,0.000474276,0.000121731,1.838843524,0.04,0.94,,0.026,4.3208,0.527,44.3,-1.2086,31.7411,398.4,23.21,5.1,1.26
10,74.999,-170.042,80,0.11,1.73,,0.045,0.000378,0.00018522,0.549226499,0.11,1.73,,0.045,4.4366,0.066,80.7,-1.5536,32.3635,318.8,28.68,11.79,1.57
10,74.999,-170.042,80,0.11,1.73,,0.045,0.000378,0.00018522,0.549226499,0.11,1.73,,0.045,4.4366,0.066,80.7,-1.5536,32.3635,318.8,28.29,11.22,1.56
10,74.999,-170.042,120,0.09,0.58,,0.038,0.000794827,5.41E-05,0.353826836,0.09,0.58,,0.038,4.4394,0.027,121.2,-1.7012,32.878,310,39.63,16.46,1.82
10,74.999,-170.042,120,0.09,0.58,,0.038,0.000794827,5.41E-05,0.353826836,0.09,0.58,,0.038,4.4394,0.027,121.2,-1.7012,32.878,313.9,37.77,15.34,1.77
14,76.5,-172.97,17,0.19,1.27,,0.026,62634.73054,394.011976,0.782129701,0.19,1.27,,0.026,4.4327,0.012,16.8,-0.4721,28.5222,373.4,2.65,0.04,0.64
14,76.5,-172.97,17,0.19,1.27,,0.026,62634.73054,394.011976,0.782129701,0.19,1.27,,0.026,4.4327,0.012,16.8,-0.4721,28.5222,373.4,2.55,0.04,0.63
14,76.5,-172.97,17,0.19,1.27,,0.026,62634.73054,394.011976,0.782129701,0.19,1.27,,0.026,4.4329,0.025,16.8,-0.4721,28.5222,373.4,2.65,0.04,0.64
14,76.5,-172.97,17,0.19,1.27,,0.026,62634.73054,394.011976,0.782129701,0.19,1.27,,0.026,4.4329,0.025,16.8,-0.4721,28.5222,373.4,2.55,0.04,0.63
26,83.729,-174.399,24,0.26,,0.013,0.024,0.006541727,0.000139755,0.776926081,0.26,,0.013,0.024,4.4492,0.041,24.3,-1.2443,29.0812,388.9,4.61,0.47,0.72
26,83.729,-174.399,24,0.26,,0.013,0.024,0.006541727,0.000139755,0.776926081,0.26,,0.013,0.024,4.4492,0.041,24.3,-1.2443,29.0812,388.9,4.61,0.45,0.72
26,83.729,-174.399,24,0.26,,0.013,0.024,0.006541727,0.000139755,0.776926081,0.26,,0.013,0.024,4.4451,0.051,24.3,-1.2443,29.0812,388.9,4.61,0.47,0.72
26,83.729,-174.399,24,0.26,,0.013,0.024,0.006541727,0.000139755,0.776926081,0.26,,0.013,0.024,4.4451,0.051,24.3,-1.2443,29.0812,388.9,4.61,0.45,0.72
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.18,0.55,0.017,0.024,4.4391,0.094,47.4,-1.3673,29.7963,381.8,9.9,2.8,0.92
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.18,0.55,0.017,0.024,4.4391,0.094,47.4,-1.3673,29.7963,381.8,9.41,2.51,0.91
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.18,0.55,0.017,0.024,4.4365,0.091,47.4,-1.3673,29.7963,381.8,9.9,2.8,0.92
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.18,0.55,0.017,0.024,4.4365,0.091,47.4,-1.3673,29.7963,381.8,9.41,2.51,0.91
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.24,0.58,0.013,0.008,4.4119,0.173,52.5,-1.3112,30.4657,354,10.29,2.91,0.95
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.24,0.58,0.013,0.008,4.4119,0.173,52.5,-1.3112,30.4657,354,15.68,5.14,1.11
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.24,0.58,0.013,0.008,4.4149,0.171,52.5,-1.3112,30.4657,354,10.29,2.91,0.95
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948,0.24,0.58,0.013,0.008,4.4149,0.171,52.5,-1.3112,30.4657,354,15.68,5.14,1.11
26,83.729,-174.399,70,0.22,0.5,0.012,0.024,0.003936712,6.95E-06,0.397201133,0.22,0.5,0.012,0.024,4.4455,0.047,70.5,-1.3032,32.2072,269.9,26.22,11.11,1.31
26,83.729,-174.399,70,0.22,0.5,0.012,0.024,0.003936712,6.95E-06,0.397201133,0.22,0.5,0.012,0.024,4.4455,0.047,70.5,-1.3032,32.2072,269.9,30.54,11.16,1.45
26,83.729,-174.399,70,0.22,0.5,0.012,0.024,0.003936712,6.95E-06,0.397201133,0.22,0.5,0.012,0.024,4.4441,0.038,70.5,-1.3032,32.2072,269.9,26.22,11.11,1.31
26,83.729,-174.399,70,0.22,0.5,0.012,0.024,0.003936712,6.95E-06,0.397201133,0.22,0.5,0.012,0.024,4.4441,0.038,70.5,-1.3032,32.2072,269.9,30.54,11.16,1.45
26,83.729,-174.399,95,0.41,0.52,0.02,0.008,0.024997383,0,0.235361913,0.41,0.52,0.02,0.008,4.454,0.02,95.7,-1.3712,33.6115,286.3,10.56,8.24,0.79
26,83.729,-174.399,95,0.41,0.52,0.02,0.008,0.024997383,0,0.235361913,0.41,0.52,0.02,0.008,4.454,0.02,95.7,-1.3712,33.6115,286.3,11.93,8.42,0.83
26,83.729,-174.399,95,0.41,0.52,0.02,0.008,0.024997383,0,0.235361913,0.41,0.52,0.02,0.008,4.4542,0.021,95.7,-1.3712,33.6115,286.3,10.56,8.24,0.79
26,83.729,-174.399,95,0.41,0.52,0.02,0.008,0.024997383,0,0.235361913,0.41,0.52,0.02,0.008,4.4542,0.021,95.7,-1.3712,33.6115,286.3,11.93,8.42,0.83
26,83.729,-174.399,749,0.07,0.66,0.045,0.091,0.00150659,0.000113391,0.075025496,0.07,0.66,0.045,0.091,4.4667,0.01,758.6,0.1365,34.8774,303.1,5.96,12.04,0.83
26,83.729,-174.399,749,0.07,0.66,0.045,0.091,0.00150659,0.000113391,0.075025496,0.07,0.66,0.045,0.091,4.4667,0.01,758.6,0.1365,34.8774,303.1,6.05,12.06,0.84
26,83.729,-174.399,749,0.07,0.66,0.045,0.091,0.00150659,0.000113391,0.075025496,0.07,0.66,0.045,0.091,4.4651,0.01,758.6,0.1365,34.8774,303.1,5.96,12.04,0.83
26,83.729,-174.399,749,0.07,0.66,0.045,0.091,0.00150659,0.000113391,0.075025496,0.07,0.66,0.045,0.091,4.4651,0.01,758.6,0.1365,34.8774,303.1,6.05,12.06,0.84
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.26,,0.003,0.301,4.4374,0.097,18.3,-1.4333,28.3995,378.6,11.19,0.35,0.82
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.26,,0.003,0.301,4.4374,0.097,18.3,-1.4333,28.3995,378.6,11.09,0.49,0.81
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.26,,0.003,0.301,4.4374,0.07,18.3,-1.4333,28.3995,378.6,11.19,0.35,0.82
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.26,,0.003,0.301,4.4374,0.07,18.3,-1.4333,28.3995,378.6,11.09,0.49,0.81
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.23,0.77,0.012,0.105,4.4363,0.093,22.9,-1.3993,28.8573,376.3,11.08,0.8,0.81
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.23,0.77,0.012,0.105,4.4363,0.093,22.9,-1.3993,28.8573,376.3,10.99,0.59,0.81
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.23,0.77,0.012,0.105,4.4289,0.062,22.9,-1.3993,28.8573,376.3,11.08,0.8,0.81
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771,0.23,0.77,0.012,0.105,4.4289,0.062,22.9,-1.3993,28.8573,376.3,10.99,0.59,0.81
30,87.64,-179.593,39,0.23,0.9,0.005,0.081,0.009214947,0.000238751,0.515811264,0.23,0.9,0.005,0.081,4.4444,0.063,39.2,-0.9418,29.9886,339.2,11.28,0.33,0.82
30,87.64,-179.593,39,0.23,0.9,0.005,0.081,0.009214947,0.000238751,0.515811264,0.23,0.9,0.005,0.081,4.4444,0.063,39.2,-0.9418,29.9886,339.2,11.28,0.21,0.8
30,87.64,-179.593,39,0.23,0.9,0.005,0.081,0.009214947,0.000238751,0.515811264,0.23,0.9,0.005,0.081,4.4412,0.055,39.2,-0.9418,29.9886,339.2,11.28,0.33,0.82
30,87.64,-179.593,39,0.23,0.9,0.005,0.081,0.009214947,0.000238751,0.515811264,0.23,0.9,0.005,0.081,4.4412,0.055,39.2,-0.9418,29.9886,339.2,11.28,0.21,0.8
30,87.64,-179.593,55,0.1,1.21,0.008,0.042,0.004744374,0.000131035,0.389160095,0.1,1.21,0.008,0.042,4.4506,0.031,55.6,-0.3812,31.1428,322.5,10.77,3.24,0.66
30,87.64,-179.593,55,0.1,1.21,0.008,0.042,0.004744374,0.000131035,0.389160095,0.1,1.21,0.008,0.042,4.4506,0.031,55.6,-0.3812,31.1428,322.5,10.67,3.38,0.67
30,87.64,-179.593,55,0.1,1.21,0.008,0.042,0.004744374,0.000131035,0.389160095,0.1,1.21,0.008,0.042,4.4479,0.031,55.6,-0.3812,31.1428,322.5,10.77,3.24,0.66
30,87.64,-179.593,55,0.1,1.21,0.008,0.042,0.004744374,0.000131035,0.389160095,0.1,1.21,0.008,0.042,4.4479,0.031,55.6,-0.3812,31.1428,322.5,10.67,3.38,0.67
30,87.64,-179.593,99,0.09,0.54,0.01,0.11,0.012549912,0.00015212,0.262332502,0.09,0.54,0.01,0.11,4.4572,0.019,100.1,-1.4353,33.9542,300.9,6.94,7.75,0.68
30,87.64,-179.593,99,0.09,0.54,0.01,0.11,0.012549912,0.00015212,0.262332502,0.09,0.54,0.01,0.11,4.4572,0.019,100.1,-1.4353,33.9542,300.9,7.43,7.76,0.69
30,87.64,-179.593,99,0.09,0.54,0.01,0.11,0.012549912,0.00015212,0.262332502,0.09,0.54,0.01,0.11,4.4561,0.018,100.1,-1.4353,33.9542,300.9,6.94,7.75,0.68
30,87.64,-179.593,99,0.09,0.54,0.01,0.11,0.012549912,0.00015212,0.262332502,0.09,0.54,0.01,0.11,4.4561,0.018,100.1,-1.4353,33.9542,300.9,7.43,7.76,0.69
30,87.64,-179.593,124,0.26,0.55,0.033,0.156,0.007549929,0.000120799,0.169299541,0.26,0.55,0.033,0.156,4.4628,0.015,125.1,-1.0845,34.2448,301.9,5.37,8.33,0.67
30,87.64,-179.593,124,0.26,0.55,0.033,0.156,0.007549929,0.000120799,0.169299541,0.26,0.55,0.033,0.156,4.4628,0.015,125.1,-1.0845,34.2448,301.9,5.37,8.43,0.67
30,87.64,-179.593,124,0.26,0.55,0.033,0.156,0.007549929,0.000120799,0.169299541,0.26,0.55,0.033,0.156,4.4609,0.015,125.1,-1.0845,34.2448,301.9,5.37,8.33,0.67
30,87.64,-179.593,124,0.26,0.55,0.033,0.156,0.007549929,0.000120799,0.169299541,0.26,0.55,0.033,0.156,4.4609,0.015,125.1,-1.0845,34.2448,301.9,5.37,8.43,0.67
30,87.64,-179.593,174,0.26,0.57,0.014,0.041,0.007720183,0.000157913,0.181281739,0.26,0.57,0.014,0.041,4.4663,0.015,176.1,-0.0007,34.5455,295,5.67,10.19,0.75
30,87.64,-179.593,174,0.26,0.57,0.014,0.041,0.007720183,0.000157913,0.181281739,0.26,0.57,0.014,0.041,4.4663,0.015,176.1,-0.0007,34.5455,295,5.67,10.39,0.76
30,87.64,-179.593,174,0.26,0.57,0.014,0.041,0.007720183,0.000157913,0.181281739,0.26,0.57,0.014,0.041,4.464,0.014,176.1,-0.0007,34.5455,295,5.67,10.19,0.75
30,87.64,-179.593,174,0.26,0.57,0.014,0.041,0.007720183,0.000157913,0.181281739,0.26,0.57,0.014,0.041,4.464,0.014,176.1,-0.0007,34.5455,295,5.67,10.39,0.76
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4672,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4673,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4656,0.011,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.84,0.82
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214,0.2,0.67,0.024,0.021,4.4658,0.012,226.5,0.7018,34.7885,290.7,5.86,11.85,0.81
30,87.64,-179.593,259,0.14,0.68,0.029,0.069,0.008314907,0.000119527,0.163847712,0.14,0.68,0.029,0.069,4.4674,0.011,261.9,0.7885,34.8116,292,5.76,11.93,0.81
30,87.64,-179.593,259,0.14,0.68,0.029,0.069,0.008314907,0.000119527,0.163847712,0.14,0.68,0.029,0.069,4.4674,0.011,261.9,0.7885,34.8116,292,5.86,11.94,0.82
30,87.64,-179.593,259,0.14,0.68,0.029,0.069,0.008314907,0.000119527,0.163847712,0.14,0.68,0.029,0.069,4.4661,0.011,261.9,0.7885,34.8116,292,5.76,11.93,0.81
30,87.64,-179.593,259,0.14,0.68,0.029,0.069,0.008314907,0.000119527,0.163847712,0.14,0.68,0.029,0.069,4.4661,0.011,261.9,0.7885,34.8116,292,5.86,11.94,0.82
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178,0.14,0.54,0.014,0.064,4.4666,0.01,378.3,0.9249,34.868,296.6,5.86,12.21,0.83
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178,0.14,0.54,0.014,0.064,4.4666,0.01,378.3,0.9249,34.868,296.6,5.96,12.23,0.85
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178,0.14,0.54,0.014,0.064,4.4653,0.01,378.3,0.9249,34.868,296.6,5.86,12.21,0.83
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178,0.14,0.54,0.014,0.064,4.4653,0.01,378.3,0.9249,34.868,296.6,5.96,12.23,0.85
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4677,0.01,809.4,0.0067,34.8766,300.5,6.45,12.3,0.84
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4677,0.01,809.4,0.0067,34.8766,300.5,6.35,12.34,0.85
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4669,0.01,809.4,0.0067,34.8766,300.5,6.45,12.3,0.84
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4669,0.01,809.4,0.0067,34.8766,300.5,6.35,12.34,0.85
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4689,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.53,0.87
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4689,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.57,0.87
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4678,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.53,0.87
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4678,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.57,0.87
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4701,0.01,1419,-0.3467,34.9204,299.6,8.79,13.45,0.94
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4701,0.01,1419,-0.3467,34.9204,299.6,8.79,13.46,0.93
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4695,0.01,1419,-0.3467,34.9204,299.6,8.79,13.45,0.94
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4695,0.01,1419,-0.3467,34.9204,299.6,8.79,13.46,0.93
