Year,STNNBR,LATITUDE,LONGITUDE,CTDDEPTH,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
2010,1,38.32,-9.66,24,0.49,2,0.00,2,0.00,2,0.01,2
2010,1,38.32,-9.66,24,0.49,2,0.00,2,0.00,2,0.01,2
2010,1,38.32,-9.66,35,0.58,2,0.06,2,0.03,2,0.09,2
2010,1,38.32,-9.66,35,0.68,2,0.04,2,0.02,2,0.05,2
2010,1,38.32,-9.66,40,0.78,2,0.10,2,0.05,2,0.07,2
2010,1,38.32,-9.66,40,0.68,2,0.10,2,0.05,2,0.05,2
2010,1,38.32,-9.66,68,0.88,2,0.61,2,0.09,2,0.11,2
2010,1,38.32,-9.66,68,0.78,2,0.64,2,0.09,2,0.11,2
2010,1,38.32,-9.66,136,1.76,2,5.50,2,0.00,2,0.38,2
2010,1,38.32,-9.66,136,1.76,2,5.44,2,0.01,2,0.39,2
2010,1,38.32,-9.66,199,2.54,2,7.57,2,0.00,2,0.52,2
2010,1,38.32,-9.66,199,2.63,2,7.54,2,0.00,2,0.50,2
2010,1,38.32,-9.66,300,3.51,2,10.11,2,0.00,2,0.64,2
2010,1,38.32,-9.66,300,3.41,2,10.08,2,0.00,2,0.64,2
2010,1,38.32,-9.66,401,4.78,2,12.39,2,0.00,2,0.79,2
2010,1,38.32,-9.66,401,4.68,2,12.40,2,0.00,2,0.79,2
2010,1,38.32,-9.66,502,6.24,2,13.43,2,0.00,2,0.85,2
2010,1,38.32,-9.66,502,6.24,2,13.28,2,0.00,2,0.84,2
2010,1,38.32,-9.66,642,5.07,2,10.59,2,0.00,2,0.65,2
2010,1,38.32,-9.66,642,5.26,2,10.66,2,0.00,2,0.66,2
2010,1,38.32,-9.66,777,5.75,2,11.26,2,0.00,2,0.69,2
2010,1,38.32,-9.66,777,5.65,2,11.21,2,0.00,2,0.69,2
2010,1,38.32,-9.66,876,6.34,2,12.21,2,0.00,2,0.76,2
2010,1,38.32,-9.66,876,6.34,2,12.15,2,0.00,2,0.76,2
2010,1,38.33,-9.66,900,6.63,2,12.20,2,0.00,2,0.74,2
2010,1,38.33,-9.66,900,6.73,2,12.21,2,0.00,2,0.74,2
2010,1,38.33,-9.66,990,6.63,2,12.07,2,0.00,2,0.73,2
2010,1,38.33,-9.66,990,6.53,2,12.08,2,0.00,2,0.74,2
2010,1,38.33,-9.66,1150,7.02,2,12.33,2,0.00,2,0.75,2
2010,1,38.33,-9.66,1150,7.02,2,12.33,2,0.00,2,0.75,2
2010,1,38.33,-9.66,1293,9.16,2,14.60,2,0.00,2,0.92,2
2010,1,38.33,-9.66,1293,9.26,2,14.59,2,0.00,2,0.93,2
2010,1,38.33,-9.66,1480,9.94,2,14.58,2,0.00,2,0.93,2
2010,1,38.33,-9.66,1480,9.65,2,14.58,2,0.00,2,0.92,2
2010,1,38.33,-9.66,1701,14.73,2,17.13,2,0.00,2,1.13,2
2010,1,38.33,-9.66,1701,14.83,2,17.11,2,0.00,2,1.13,2
2010,1,38.33,-9.66,1901,18.24,2,17.97,2,0.00,2,1.21,2
2010,1,38.33,-9.66,1901,18.34,2,17.99,2,0.00,2,1.21,2
2010,1,38.33,-9.66,2101,21.76,2,18.60,2,0.00,2,1.26,2
2010,1,38.33,-9.66,2101,21.66,2,18.59,2,0.00,2,1.27,2
2010,1,38.33,-9.66,2301,25.96,2,19.16,2,0.00,2,1.32,2
2010,1,38.33,-9.66,2301,25.86,2,19.17,2,0.00,2,1.32,2
2010,1,38.33,-9.66,2501,29.37,2,19.68,2,0.00,2,1.36,2
2010,1,38.33,-9.66,2501,29.27,2,19.70,2,0.00,2,1.36,2
2010,1,38.33,-9.66,2601,31.52,2,19.96,2,0.00,2,1.38,2
2010,1,38.33,-9.66,2601,31.62,2,19.93,2,0.00,2,1.37,2
2010,1,38.33,-9.66,2701,33.67,2,20.08,2,0.00,2,1.39,2
2010,1,38.33,-9.66,2701,33.96,2,20.14,2,0.00,2,1.40,2
2010,2,36.76,-12.83,49,0.39,2,0.00,2,0.00,2,0.03,2
2010,2,36.76,-12.83,49,0.39,2,0.00,2,0.00,2,0.01,2
2010,2,36.76,-12.83,102,0.88,2,1.04,2,0.13,2,0.13,2
2010,2,36.76,-12.83,102,0.78,2,1.10,2,0.13,2,0.13,2
2010,2,36.76,-12.83,141,1.95,2,5.55,2,0.01,2,0.37,2
2010,2,36.76,-12.83,141,1.85,2,5.51,2,0.01,2,0.37,2
2010,2,36.76,-12.83,201,2.54,2,7.46,2,0.00,2,0.48,2
2010,2,36.76,-12.83,201,2.54,2,7.44,2,0.01,2,0.49,2
2010,2,36.76,-12.83,251,3.41,2,9.31,2,0.00,2,0.59,2
2010,2,36.76,-12.83,251,3.32,2,9.31,2,0.00,2,0.59,2
2010,2,36.76,-12.83,359,3.41,2,9.88,2,0.00,2,0.63,2
2010,2,36.76,-12.83,359,3.41,2,9.88,2,0.00,2,0.63,2
2010,2,36.76,-12.83,501,5.56,2,13.81,2,0.00,2,0.87,2
2010,2,36.76,-12.83,501,5.46,2,13.76,2,0.00,2,0.87,2
2010,2,36.76,-12.83,662,8.00,2,16.31,2,0.00,2,1.03,2
2010,2,36.76,-12.83,662,8.10,2,16.32,2,0.00,2,1.03,2
2010,2,36.76,-12.83,821,8.19,2,14.96,2,0.00,2,0.95,2
2010,2,36.76,-12.83,821,8.09,2,14.88,2,0.00,2,0.95,2
2010,2,36.76,-12.83,902,9.65,2,16.47,2,0.00,2,1.05,2
2010,2,36.76,-12.83,902,9.75,2,16.41,2,0.00,2,1.04,2
2010,2,36.76,-12.83,1051,10.24,2,16.16,2,0.00,2,1.02,2
2010,2,36.76,-12.83,1051,10.14,2,16.11,2,0.00,2,1.02,2
2010,2,36.76,-12.83,1201,10.24,2,15.56,2,0.00,2,0.98,2
2010,2,36.76,-12.83,1201,10.24,2,15.50,2,0.00,2,0.98,2
2010,3,35.20,-16.00,35,0.49,2,0.00,2,0.00,2,0.00,2
2010,3,35.20,-16.00,35,0.58,2,0.00,2,0.00,2,0.00,2
2010,3,35.20,-16.00,51,0.29,2,0.00,2,0.00,2,0.00,2
2010,3,35.20,-16.00,51,0.29,2,0.00,2,0.00,2,0.01,2
2010,3,35.20,-16.00,77,0.68,2,0.07,2,0.02,2,0.01,2
2010,3,35.20,-16.00,77,0.68,2,0.11,2,0.02,2,0.02,2
2010,3,35.20,-16.00,100,1.36,2,4.01,2,0.04,2,0.23,2
2010,3,35.20,-16.00,100,1.36,2,4.01,2,0.04,2,0.23,2
2010,3,35.20,-16.00,136,1.66,2,4.89,2,0.01,2,0.30,2
2010,3,35.20,-16.00,136,1.66,2,4.92,2,0.01,2,0.30,2
2010,3,35.20,-16.00,191,2.24,2,6.43,2,0.01,2,0.39,2
2010,3,35.20,-16.00,191,2.15,2,6.42,2,0.00,2,0.40,2
2010,3,35.20,-16.00,301,3.61,2,9.85,2,0.00,2,0.61,2
2010,3,35.20,-16.00,301,3.61,2,9.82,2,0.00,2,0.61,2
2010,3,35.20,-16.00,401,4.00,2,10.94,2,0.00,2,0.68,2
2010,3,35.20,-16.00,401,4.00,2,10.95,2,0.00,2,0.68,2
2010,3,35.20,-16.00,490,5.46,2,13.77,2,0.00,2,0.85,2
2010,3,35.20,-16.00,490,5.36,2,13.72,2,0.00,2,0.86,2
2010,3,35.20,-16.00,611,7.12,2,15.91,2,0.00,2,0.99,2
2010,3,35.20,-16.00,611,7.22,2,15.91,2,0.00,2,0.99,2
2010,3,35.20,-16.00,777,9.17,2,17.02,2,0.00,2,1.08,2
2010,3,35.20,-16.00,777,9.07,2,16.98,2,0.00,2,1.07,2
2010,3,35.20,-16.00,876,9.75,2,16.94,2,0.00,2,1.08,2
2010,3,35.20,-16.00,876,9.85,2,16.81,2,0.00,2,1.08,2
2010,3,35.20,-16.00,994,10.53,2,16.64,2,0.00,2,1.05,2
2010,3,35.20,-16.00,994,10.43,2,16.67,2,0.00,2,1.06,2
2010,3,35.20,-16.00,1051,10.92,2,16.82,2,0.00,2,1.07,2
2010,3,35.20,-16.00,1051,10.92,2,16.81,2,0.00,2,1.07,2
2010,3,35.20,-16.00,1201,11.90,2,17.16,2,0.00,2,1.11,2
2010,3,35.20,-16.00,1201,11.80,2,17.16,2,0.00,2,1.11,2
2010,3,35.20,-16.00,1351,12.68,2,17.35,2,0.00,2,1.14,2
2010,3,35.20,-16.00,1351,12.68,2,17.36,2,0.00,2,1.13,2
2010,3,35.20,-16.00,1501,13.56,2,17.37,2,0.00,2,1.14,2
2010,3,35.20,-16.00,1501,13.56,2,17.34,2,0.00,2,1.14,2
2010,3,35.20,-16.00,1701,14.93,2,17.65,2,0.00,2,1.18,2
2010,3,35.20,-16.00,1701,14.83,2,17.66,2,0.00,2,1.18,2
2010,3,35.20,-16.00,1901,17.56,2,18.08,2,0.00,2,1.22,2
2010,3,35.20,-16.00,1901,17.56,2,18.09,2,0.00,2,1.22,2
2010,3,35.20,-16.00,2101,20.98,2,18.59,2,0.00,2,1.26,2
2010,3,35.20,-16.00,2101,20.98,2,18.59,2,0.00,2,1.25,2
2010,3,35.20,-16.00,2300,24.20,2,19.02,2,0.00,2,1.30,2
2010,3,35.20,-16.00,2300,24.20,2,18.98,2,0.00,2,1.30,2
2010,3,35.20,-16.00,2501,28.01,2,19.49,2,0.00,2,1.34,2
2010,3,35.20,-16.00,2501,28.01,2,19.47,2,0.00,2,1.34,2
2010,3,35.20,-16.00,2601,29.96,2,19.72,2,0.00,2,1.36,2
2010,3,35.20,-16.00,2601,29.76,2,19.71,2,0.00,2,1.35,2
2010,3,35.20,-16.00,2681,31.72,2,19.91,2,0.00,2,1.37,2
2010,3,35.20,-16.00,2681,31.91,2,19.89,2,0.00,2,1.39,2
2010,5,31.00,-22.00,31,0.39,2,0.00,2,0.00,2,0.00,2
2010,5,31.00,-22.00,31,0.49,2,0.00,2,0.00,2,0.00,2
2010,5,31.00,-22.00,52,0.29,2,0.00,2,0.00,2,0.00,2
2010,5,31.00,-22.00,52,0.39,2,0.00,2,0.00,2,0.00,2
2010,5,31.00,-22.00,81,0.58,2,0.00,2,0.00,2,0.00,2
2010,5,31.00,-22.00,81,0.58,2,0.00,2,0.00,2,0.00,2
2010,5,31.00,-22.00,101,0.68,2,0.07,2,0.07,2,0.00,2
2010,5,31.00,-22.00,101,0.68,2,0.07,2,0.07,2,0.01,2
2010,5,31.00,-22.00,136,1.27,2,2.77,2,0.02,2,0.15,2
2010,5,31.00,-22.00,136,1.17,2,2.74,2,0.02,2,0.15,2
2010,5,31.00,-22.00,187,1.46,2,3.78,2,0.01,2,0.20,2
2010,5,31.00,-22.00,187,1.46,2,3.78,2,0.01,2,0.20,2
2010,5,31.00,-22.00,251,2.24,2,5.68,2,0.01,2,0.33,2
2010,5,31.00,-22.00,251,2.14,2,5.66,2,0.01,2,0.36,2
2010,5,31.00,-22.00,351,3.02,2,7.64,2,0.00,2,0.49,2
2010,5,31.00,-22.00,351,2.93,2,7.63,2,0.00,2,0.47,2
2010,5,31.00,-22.00,553,5.66,2,13.06,2,0.00,2,0.81,2
2010,5,31.00,-22.00,553,5.56,2,12.97,2,0.00,2,0.81,2
2010,5,31.00,-22.00,802,11.32,2,20.03,2,0.00,2,1.30,2
2010,5,31.00,-22.00,802,11.22,2,19.98,2,0.00,2,1.27,2
2010,5,31.00,-22.00,963,12.97,2,20.22,2,0.00,2,1.31,2
2010,5,31.00,-22.00,963,12.97,2,20.15,2,0.00,2,1.32,2
2010,5,31.00,-22.00,1202,14.14,2,19.32,2,0.00,2,1.26,2
2010,5,31.00,-22.00,1202,14.34,2,19.26,2,0.00,2,1.26,2
2010,5,31.01,-22.00,1501,15.22,2,18.47,2,0.00,2,1.24,2
2010,5,31.01,-22.00,1501,14.93,2,18.54,2,0.00,2,1.24,2
2010,5,31.01,-22.00,1800,15.71,2,18.01,2,0.00,2,1.23,2
2010,5,31.01,-22.00,1800,15.71,2,17.99,2,0.00,2,1.22,2
2010,5,31.01,-22.00,2100,20.10,2,18.60,2,0.00,2,1.28,2
2010,5,31.01,-22.00,2100,20.10,2,18.62,2,0.00,2,1.28,2
2010,5,31.01,-22.00,2401,24.69,2,18.97,2,0.00,2,1.31,2
2010,5,31.01,-22.00,2401,24.40,2,18.99,2,0.00,2,1.32,2
2010,5,31.01,-22.00,2701,29.57,2,19.61,2,0.00,2,1.37,2
2010,5,31.01,-22.00,2701,29.67,2,19.68,2,0.00,2,1.37,2
2010,5,31.01,-22.00,3001,34.64,2,20.36,2,0.00,2,1.42,2
2010,5,31.01,-22.00,3001,34.64,2,20.38,2,0.00,2,1.42,2
2010,5,31.01,-22.00,3301,38.55,2,20.86,2,0.00,2,1.46,2
2010,5,31.01,-22.00,3301,38.55,2,20.88,2,0.00,2,1.46,2
2010,5,31.01,-22.00,3600,41.67,2,21.26,2,0.00,2,1.48,2
2010,5,31.01,-22.00,3600,41.67,2,21.22,2,0.00,2,1.49,2
2010,5,31.01,-22.00,3899,43.43,2,21.41,2,0.00,2,1.50,2
2010,5,31.01,-22.00,3899,43.53,2,21.44,2,0.00,2,1.50,2
2010,5,31.01,-22.00,4199,45.09,2,21.55,2,0.00,2,1.51,2
2010,5,31.01,-22.00,4199,45.09,2,21.53,2,0.00,2,1.50,2
2010,5,31.01,-22.00,4549,46.75,2,21.61,2,0.00,2,1.51,2
2010,5,31.01,-22.00,4549,46.16,2,21.53,2,0.00,2,1.51,2
2010,5,31.01,-22.00,4899,46.75,2,21.54,2,0.00,2,1.51,2
2010,5,31.01,-22.00,4899,47.92,2,21.56,2,0.00,2,1.51,2
2010,6,27.52,-22.00,41,0.49,2,0.00,2,0.00,2,0.02,2
2010,6,27.52,-22.00,41,0.29,2,0.01,2,0.00,2,0.02,2
2010,6,27.52,-22.00,66,0.29,2,0.00,2,0.00,2,0.02,2
2010,6,27.52,-22.00,66,0.29,2,0.00,2,0.00,2,0.01,2
2010,6,27.52,-22.00,91,0.39,2,0.00,2,0.00,2,0.01,2
2010,6,27.52,-22.00,91,0.39,2,0.00,2,0.00,2,0.05,2
2010,6,27.52,-22.00,116,0.39,2,0.00,2,0.06,2,0.01,2
2010,6,27.52,-22.00,116,0.49,2,0.00,2,0.06,2,0.01,2
2010,6,27.52,-22.00,135,0.68,2,0.53,2,0.03,2,0.03,2
2010,6,27.52,-22.00,135,0.68,2,0.52,2,0.03,2,0.03,2
2010,6,27.52,-22.00,186,1.17,2,3.67,2,0.01,2,0.21,2
2010,6,27.52,-22.00,186,1.07,2,3.64,2,0.01,2,0.22,2
2010,6,27.52,-22.00,302,2.34,2,7.22,2,0.00,2,0.43,2
2010,6,27.52,-22.00,302,2.34,2,7.19,2,0.00,2,0.43,2
2010,6,27.52,-22.00,401,3.61,2,10.22,2,0.00,2,0.62,2
2010,6,27.52,-22.00,401,3.61,2,10.21,2,0.00,2,0.62,2
2010,6,27.52,-22.00,602,8.00,2,18.15,2,0.00,2,1.12,2
2010,6,27.52,-22.00,602,7.90,2,18.12,2,0.00,2,1.13,2
2010,6,27.52,-22.00,801,13.27,2,22.93,2,0.00,2,1.47,2
2010,6,27.52,-22.00,801,13.17,2,22.85,2,0.00,2,1.46,2
2010,6,27.52,-22.00,1003,15.51,2,22.84,2,0.00,2,1.50,2
2010,6,27.52,-22.00,1003,15.51,2,22.85,2,0.00,2,1.50,2
2010,6,27.52,-22.00,1202,15.32,2,20.99,2,0.00,2,1.39,2
2010,6,27.52,-22.00,1202,15.41,2,20.95,2,0.00,2,1.39,2
2010,7,24.00,-22.00,35,0.58,2,0.00,2,0.00,2,0.09,2
2010,7,24.00,-22.00,35,0.49,2,0.00,2,0.00,2,0.09,2
2010,7,24.00,-22.00,46,0.49,2,0.00,2,0.00,2,0.06,2
2010,7,24.00,-22.00,46,0.58,2,0.00,2,0.00,2,0.06,2
2010,7,24.00,-22.00,71,0.78,2,0.19,2,0.05,2,0.10,2
2010,7,24.00,-22.00,71,0.78,2,0.19,2,0.05,2,0.10,2
2010,7,24.00,-22.00,151,4.78,2,15.37,2,0.02,2,0.96,2
2010,7,24.00,-22.00,151,4.68,2,15.32,2,0.01,2,0.96,2
2010,7,24.00,-22.00,201,5.07,2,15.15,2,0.01,2,0.93,2
2010,7,24.00,-22.00,201,4.97,2,15.15,2,0.01,2,0.94,2
2010,7,24.00,-22.00,351,5.75,2,16.33,2,0.01,2,0.98,2
2010,7,24.00,-22.00,351,5.66,2,16.31,2,0.01,2,0.98,2
2010,7,24.00,-22.00,398,5.85,2,15.95,2,0.01,2,0.97,2
2010,7,24.00,-22.00,398,5.95,2,15.93,2,0.01,2,0.97,2
2010,7,24.00,-22.00,451,8.97,2,22.35,2,0.01,2,1.35,2
2010,7,24.00,-22.00,451,8.88,2,22.00,2,0.01,2,1.34,2
2010,7,24.00,-22.00,501,8.78,2,20.51,2,0.01,2,1.25,2
2010,7,24.00,-22.00,501,8.78,2,20.51,2,0.01,2,1.26,2
2010,7,24.00,-22.00,751,17.56,2,29.18,2,0.00,2,1.87,2
2010,7,24.00,-22.00,751,17.47,2,29.11,2,0.00,2,1.87,2
2010,7,24.00,-22.00,1001,19.51,2,26.45,2,0.00,2,1.76,2
2010,7,24.00,-22.00,1001,19.71,2,26.38,2,0.00,2,1.78,2
2010,7,24.00,-22.00,1201,19.03,2,23.59,2,0.01,2,1.57,2
2010,7,24.00,-22.00,1201,18.83,2,23.62,2,0.00,2,1.56,2
2010,7,24.00,-22.00,1499,20.88,2,21.87,2,0.00,2,1.52,2
2010,7,24.00,-22.00,1499,20.29,2,21.98,2,0.00,2,1.50,2
2010,7,24.00,-22.00,1750,24.00,2,21.34,2,0.00,2,1.46,2
2010,7,24.00,-22.00,1750,23.91,2,21.36,2,0.00,2,1.47,2
2010,7,24.00,-22.00,1999,27.03,2,21.11,2,0.00,2,1.46,2
2010,7,24.00,-22.00,1999,26.83,2,21.12,2,0.00,2,1.46,2
2010,7,24.00,-22.00,2248,28.59,2,21.01,2,0.00,2,1.45,2
2010,7,24.00,-22.00,2248,28.59,2,20.94,2,0.00,2,1.46,2
2010,7,24.00,-22.00,2499,31.52,2,20.85,2,0.00,2,1.45,2
2010,7,24.00,-22.00,2499,31.62,2,20.91,2,0.00,2,1.45,2
2010,7,24.00,-22.00,2749,35.33,2,21.04,2,0.00,2,1.46,2
2010,7,24.00,-22.00,2749,34.74,2,21.00,2,0.00,2,1.47,2
2010,7,24.00,-22.00,2998,37.67,2,21.07,2,0.00,2,1.48,2
