,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
3,,2.01,,0.034,35.0,18.8331,36.21075,235.0,0.04,0.02,0.68,0.05
4,,1.65,,0.03,40.0,18.54365,36.2169,237.3,0.1,0.05,0.78,0.07
5,,1.65,,0.03,40.0,18.54365,36.2169,237.3,0.1,0.05,0.68,0.05
6,,1.01,,0.039,68.0,16.7769,36.22315,228.25,0.61,0.09,0.88,0.11
7,,1.01,,0.039,68.0,16.7769,36.22315,228.25,0.64,0.09,0.78,0.11
8,,2.17,,0.033,137.0,15.19465,36.1498,212.05,5.5,0.0,1.76,0.38
9,,2.17,,0.033,137.0,15.19465,36.1498,212.05,5.44,0.01,1.76,0.39
10,,1.75,,0.047,200.0,14.0739,35.9762,207.65,7.57,0.0,2.54,0.52
11,,1.75,,0.047,200.0,14.0739,35.9762,207.65,7.54,0.0,2.63,0.5
12,,2.33,,0.119,302.0,13.07565,35.81725,204.95,10.11,0.0,3.51,0.64
13,,2.33,,0.119,302.0,13.07565,35.81725,204.95,10.08,0.0,3.41,0.64
14,,2.2,,0.111,404.0,12.29865,35.73825,197.85,12.39,0.0,4.78,0.79
15,,2.2,,0.111,404.0,12.29865,35.73825,197.85,12.4,0.0,4.68,0.79
16,,0.96,,0.052,506.0,11.81405,35.8341,185.8,13.43,0.0,6.24,0.85
17,,0.96,,0.052,506.0,11.81405,35.8341,185.8,13.28,0.0,6.24,0.84
18,,2.55,,0.071,648.0,12.93485,36.3099,191.5,10.59,0.0,5.07,0.65
19,,2.55,,0.071,648.0,12.93485,36.3099,191.5,10.66,0.0,5.26,0.66
20,,1.52,,0.061,784.0,12.8688,36.3414,190.3,11.26,0.0,5.75,0.69
21,,1.52,,0.061,784.0,12.8688,36.3414,190.3,11.21,0.0,5.65,0.69
22,,1.78,,,884.0,12.5199,36.32035,184.95,12.21,0.0,6.34,0.76
23,,1.78,,,884.0,12.5199,36.32035,184.95,12.15,0.0,6.34,0.76
24,,1.61,0.00013000000000000002,,909.0,12.5434,36.361999999999995,188.6,12.2,0.0,6.63,0.74
25,,1.61,0.00013000000000000002,,909.0,12.5434,36.361999999999995,188.6,12.21,0.0,6.73,0.74
26,,1.83,,,1000.0,12.5659,36.4571,187.0,12.07,0.0,6.63,0.73
27,,1.83,,,1000.0,12.5659,36.4571,187.0,12.08,0.0,6.53,0.74
28,,,,,1162.0,12.5304,36.5157,185.3,12.33,0.0,7.02,0.75
29,,,,,1162.0,12.5304,36.5157,185.3,12.33,0.0,7.02,0.75
30,,1.54,,0.027,1307.0,11.1714,36.2702,178.8,14.6,0.0,9.16,0.92
31,,1.54,,0.027,1307.0,11.1714,36.2702,178.8,14.59,0.0,9.26,0.93
32,,,,0.024,1496.0,10.8176,36.2999,185.5,14.58,0.0,9.94,0.93
33,,,,0.024,1496.0,10.8176,36.2999,185.5,14.58,0.0,9.65,0.92
34,,,,0.02,1721.0,7.1471,35.6033,213.8,17.13,0.0,14.73,1.13
35,,,,0.02,1721.0,7.1471,35.6033,213.8,17.11,0.0,14.83,1.13
36,,,,0.026,1924.0,5.4015,35.3057,231.1,17.97,0.0,18.24,1.21
37,,,,0.026,1924.0,5.4015,35.3057,231.1,17.99,0.0,18.34,1.21
48,,,,,49.0,21.1178,36.5255,221.4,0.0,0.0,0.39,0.03
49,,,,,49.0,21.1178,36.5255,221.4,0.0,0.0,0.39,0.01
50,,,,,103.0,16.0502,36.1522,234.6,1.04,0.13,0.88,0.13
51,,,,,103.0,16.0502,36.1522,234.6,1.1,0.13,0.78,0.13
52,,,,,142.0,15.1064,36.0795,217.3,5.55,0.01,1.95,0.37
53,,,,,142.0,15.1064,36.0795,217.3,5.51,0.01,1.85,0.37
54,,,,,202.0,14.3479,36.014,218.7,7.46,0.0,2.54,0.48
55,,,,,202.0,14.3479,36.014,218.7,7.44,0.01,2.54,0.49
56,,,,,253.0,13.5029,35.8633,212.4,9.31,0.0,3.41,0.59
57,,,,,253.0,13.5029,35.8633,212.4,9.31,0.0,3.32,0.59
58,,,,,362.0,12.7819,35.7791,220.7,9.88,0.0,3.41,0.63
59,,,,,362.0,12.7819,35.7791,220.7,9.88,0.0,3.41,0.63
60,,,,,505.0,11.6496,35.6234,198.6,13.81,0.0,5.56,0.87
61,,,,,505.0,11.6496,35.6234,198.6,13.76,0.0,5.46,0.87
62,,,,,668.0,11.1097,35.711999999999996,179.0,16.31,0.0,8.0,1.03
63,,,,,668.0,11.1097,35.711999999999996,179.0,16.32,0.0,8.1,1.03
64,,,,,829.0,11.9245,36.1428,183.7,14.96,0.0,8.19,0.95
65,,,,,829.0,11.9245,36.1428,183.7,14.88,0.0,8.09,0.95
66,,,,,911.0,10.8006,35.9654,177.0,16.47,0.0,9.65,1.05
67,,,,,911.0,10.8006,35.9654,177.0,16.41,0.0,9.75,1.04
68,,,,,1061.0,10.5374,36.0612,180.3,16.16,0.0,10.24,1.02
69,,,,,1061.0,10.5374,36.0612,180.3,16.11,0.0,10.14,1.02
70,,,,,1213.0,10.4072,36.1429,185.4,15.56,0.0,10.24,0.98
71,,,,,1213.0,10.4072,36.1429,185.4,15.5,0.0,10.24,0.98
72,,0.57,,0.036,35.0,22.16445,36.6359,219.8,0.0,0.0,0.49,0.0
73,,0.57,,0.036,35.0,22.16445,36.6359,219.8,0.0,0.0,0.58,0.0
74,,,,0.053,51.0,19.6364,36.3828,258.75,0.0,0.0,0.29,0.0
75,,,,0.053,51.0,19.6364,36.3828,258.75,0.0,0.0,0.29,0.01
76,,0.5,,0.084,77.0,17.1104,36.30715,210.4,0.07,0.02,0.68,0.01
77,,0.5,,0.084,77.0,17.1104,36.30715,210.4,0.11,0.02,0.68,0.02
78,,0.2,,,101.0,16.4864,36.26435,205.35,4.01,0.04,1.36,0.23
79,,0.2,,,101.0,16.4864,36.26435,205.35,4.01,0.04,1.36,0.23
80,,0.43,,0.093,137.0,15.88275,36.1809,205.5,4.89,0.01,1.66,0.3
81,,0.43,,0.093,137.0,15.88275,36.1809,205.5,4.92,0.01,1.66,0.3
82,,0.55,,0.069,192.0,14.9229,36.05235,204.4,6.43,0.01,2.24,0.39
83,,0.55,,0.069,192.0,14.9229,36.05235,204.4,6.42,0.0,2.15,0.4
84,,0.29,,0.069,303.0,13.4473,35.83265,203.65,9.85,0.0,3.61,0.61
85,,0.29,,0.069,303.0,13.4473,35.83265,203.65,9.82,0.0,3.61,0.61
86,,0.64,,0.065,404.0,12.65765,35.7287,202.2,10.94,0.0,4.0,0.68
87,,0.64,,0.065,404.0,12.65765,35.7287,202.2,10.95,0.0,4.0,0.68
88,,0.04,0.00023999999999999998,0.11,494.0,11.93175,35.6392,190.05,13.77,0.0,5.46,0.85
89,,0.04,0.00023999999999999998,0.11,494.0,11.93175,35.6392,190.05,13.72,0.0,5.36,0.86
90,,,,0.15,616.0,11.06165,35.586,181.65,15.91,0.0,7.12,0.99
91,,,,0.15,616.0,11.06165,35.586,181.65,15.91,0.0,7.22,0.99
92,,1.74,,0.215,784.0,10.6057,35.7243,177.95,17.02,0.0,9.17,1.08
93,,1.74,,0.215,784.0,10.6057,35.7243,177.95,16.98,0.0,9.07,1.07
94,,0.38,,0.192,884.0,10.373,35.81245,178.9,16.94,0.0,9.75,1.08
95,,0.38,,0.192,884.0,10.373,35.81245,178.9,16.81,0.0,9.85,1.08
96,,0.17,0.00027,0.146,1004.0,10.234,35.9047,180.7,16.64,0.0,10.53,1.05
97,,0.17,0.00027,0.146,1004.0,10.234,35.9047,180.7,16.67,0.0,10.43,1.06
98,,0.8,0.00047,0.094,1061.0,10.2017,35.9535,182.9,16.82,0.0,10.92,1.07
99,,0.8,0.00047,0.094,1061.0,10.2017,35.9535,182.9,16.81,0.0,10.92,1.07
100,,0.86,0.0001,,1213.0,9.0833,35.8218,191.4,17.16,0.0,11.9,1.11
101,,0.86,0.0001,,1213.0,9.0833,35.8218,191.4,17.16,0.0,11.8,1.11
102,,0.21,0.00047,0.065,1365.0,7.9878,35.673,205.2,17.35,0.0,12.68,1.14
103,,0.21,0.00047,0.065,1365.0,7.9878,35.673,205.2,17.36,0.0,12.68,1.13
104,,0.08,,0.061,1518.0,6.8528,35.5033,217.4,17.37,0.0,13.56,1.14
105,,0.08,,0.061,1518.0,6.8528,35.5033,217.4,17.34,0.0,13.56,1.14
106,,0.94,,,1721.0,5.3745,35.2643,235.5,17.65,0.0,14.93,1.18
107,,0.94,,,1721.0,5.3745,35.2643,235.5,17.66,0.0,14.83,1.18
108,,0.89,,,1924.0,4.6187,35.1623,241.4,18.08,0.0,17.56,1.22
109,,0.89,,,1924.0,4.6187,35.1623,241.4,18.09,0.0,17.56,1.22
120,,1.18,,0.032,31.0,24.31545,37.235,212.15,0.0,0.0,0.39,0.0
121,,1.18,,0.032,31.0,24.31545,37.235,212.15,0.0,0.0,0.49,0.0
122,,0.59,,0.025,52.0,21.16685,36.72265,247.5,0.0,0.0,0.29,0.0
123,,0.59,,0.025,52.0,21.16685,36.72265,247.5,0.0,0.0,0.39,0.0
124,,0.39,,0.023,81.66666667,19.37656667,36.65813333,218.4,0.0,0.0,0.58,0.0
125,,0.39,,0.023,81.66666667,19.37656667,36.65813333,218.4,0.0,0.0,0.58,0.0
126,,0.43,,0.029,102.0,18.50785,36.59855,206.55,0.07,0.07,0.68,0.0
127,,0.43,,0.029,102.0,18.50785,36.59855,206.55,0.07,0.07,0.68,0.01
128,,0.55,,0.035,137.0,17.94685,36.5444,203.15,2.77,0.02,1.27,0.15
129,,0.55,,0.035,137.0,17.94685,36.5444,203.15,2.74,0.02,1.17,0.15
130,,0.61,,0.029,188.0,17.39755,36.46635,199.95,3.78,0.01,1.46,0.2
131,,0.61,,0.029,188.0,17.39755,36.46635,199.95,3.78,0.01,1.46,0.2
132,,0.62,,0.03,253.0,16.49925,36.3137,197.95,5.68,0.01,2.24,0.33
133,,0.62,,0.03,253.0,16.49925,36.3137,197.95,5.66,0.01,2.14,0.36
134,,0.59,,0.05,354.0,14.9272,36.0564,194.75,7.64,0.0,3.02,0.49
135,,0.59,,0.05,354.0,14.9272,36.0564,194.75,7.63,0.0,2.93,0.47
136,,0.71,,0.073,558.0,12.38645,35.678000000000004,188.75,13.06,0.0,5.66,0.81
137,,0.71,,0.073,558.0,12.38645,35.678000000000004,188.75,12.97,0.0,5.56,0.81
138,,0.98,,0.076,809.0,9.94615,35.46435,159.35,20.03,0.0,11.32,1.3
139,,0.98,,0.076,809.0,9.94615,35.46435,159.35,19.98,0.0,11.22,1.27
140,,0.87,,0.139,972.0,9.11395,35.51805,171.05,20.22,0.0,12.97,1.31
141,,0.87,,0.139,972.0,9.11395,35.51805,171.05,20.15,0.0,12.97,1.32
142,,0.68,,0.117,1214.0,8.1293,35.5506,185.95,19.32,0.0,14.14,1.26
143,,0.68,,0.117,1214.0,8.1293,35.5506,185.95,19.26,0.0,14.34,1.26
144,,0.78,,0.05,1517.0,6.5513,35.3975,211.7,18.47,0.0,15.22,1.24
145,,0.78,,0.05,1517.0,6.5513,35.3975,211.7,18.54,0.0,14.93,1.24
146,,0.89,0.046,0.047,1821.0,5.0918,35.2112,234.1,18.01,0.0,15.71,1.23
147,,0.89,0.046,0.047,1821.0,5.0918,35.2112,234.1,17.99,0.0,15.71,1.22
168,,0.5,,0.024,41.0,24.3568,37.2725,209.6,0.0,0.0,0.49,0.02
169,,0.5,,0.024,41.0,24.3568,37.2725,209.6,0.01,0.0,0.29,0.02
170,,0.34,,0.023,66.0,22.8641,37.1319,226.9,0.0,0.0,0.29,0.02
171,,0.34,,0.023,66.0,22.8641,37.1319,226.9,0.0,0.0,0.29,0.01
172,,0.29,,0.03,92.0,20.3333,36.8778,229.1,0.0,0.0,0.39,0.01
173,,0.29,,0.03,92.0,20.3333,36.8778,229.1,0.0,0.0,0.39,0.05
174,,0.23,,0.03,117.0,19.1374,36.7416,219.2,0.0,0.06,0.39,0.01
175,,0.23,,0.03,117.0,19.1374,36.7416,219.2,0.0,0.06,0.49,0.01
176,,0.23,,0.03,136.0,18.4804,36.6429,213.1,0.53,0.03,0.68,0.03
177,,0.23,,0.03,136.0,18.4804,36.6429,213.1,0.52,0.03,0.68,0.03
178,,0.26,0.029,,187.0,17.739,36.5591,198.5,3.67,0.01,1.17,0.21
179,,0.26,0.029,,187.0,17.739,36.5591,198.5,3.64,0.01,1.07,0.22
180,,0.41,,0.049,304.0,15.5145,36.1537,197.2,7.22,0.0,2.34,0.43
181,,0.41,,0.049,304.0,15.5145,36.1537,197.2,7.19,0.0,2.34,0.43
182,,0.59,,0.058,404.0,13.7892,35.8807,193.9,10.22,0.0,3.61,0.62
183,,0.59,,0.058,404.0,13.7892,35.8807,193.9,10.21,0.0,3.61,0.62
184,,0.65,,0.049,607.0,11.524000000000001,35.5895,162.3,18.15,0.0,8.0,1.12
185,,0.65,,0.049,607.0,11.524000000000001,35.5895,162.3,18.12,0.0,7.9,1.13
186,,0.7,,0.037,808.0,9.5606,35.4195,150.7,22.93,0.0,13.27,1.47
187,,0.7,,0.037,808.0,9.5606,35.4195,150.7,22.85,0.0,13.17,1.46
188,,0.71,,,1013.0,8.1803,35.3717,160.1,22.84,0.0,15.51,1.5
189,,0.71,,,1013.0,8.1803,35.3717,160.1,22.85,0.0,15.51,1.5
190,,0.66,,0.051,1214.0,7.7406,35.4628,176.5,20.99,0.0,15.32,1.39
191,,0.66,,0.051,1214.0,7.7406,35.4628,176.5,20.95,0.0,15.41,1.39
192,,0.47,,0.02,35.0,25.5905,36.7807,207.55,0.0,0.0,0.58,0.09
193,,0.47,,0.02,35.0,25.5905,36.7807,207.55,0.0,0.0,0.49,0.09
194,,0.3,,0.022,46.0,24.9641,37.0337,217.0,0.0,0.0,0.49,0.06
195,,0.3,,0.022,46.0,24.9641,37.0337,217.0,0.0,0.0,0.58,0.06
196,,0.26,,0.023,71.0,22.21075,36.8736,200.55,0.19,0.05,0.78,0.1
197,,0.26,,0.023,71.0,22.21075,36.8736,200.55,0.19,0.05,0.78,0.1
198,,0.41,,0.036,152.0,17.2526,36.24815,104.8,15.37,0.02,4.78,0.96
199,,0.41,,0.036,152.0,17.2526,36.24815,104.8,15.32,0.01,4.68,0.96
200,,0.44,,0.042,202.0,16.46075,36.218,118.4,15.15,0.01,5.07,0.93
201,,0.44,,0.042,202.0,16.46075,36.218,118.4,15.15,0.01,4.97,0.94
202,,0.55,,0.048,354.0,14.20805,35.91235,133.2,16.33,0.01,5.75,0.98
203,,0.55,,0.048,354.0,14.20805,35.91235,133.2,16.31,0.01,5.66,0.98
204,,0.46,,,401.0,13.67705,35.8521,146.9,15.95,0.01,5.85,0.97
205,,0.46,,,401.0,13.67705,35.8521,146.9,15.93,0.01,5.95,0.97
206,,0.69,,0.055,454.5,12.46145,35.62315,99.55,22.35,0.01,8.97,1.35
207,,0.69,,0.055,454.5,12.46145,35.62315,99.55,22.0,0.01,8.88,1.34
208,,0.65,,0.06,505.0,12.04935,35.6108,127.75,20.51,0.01,8.78,1.25
209,,0.65,,0.06,505.0,12.04935,35.6108,127.75,20.51,0.01,8.78,1.26
210,,0.8,,0.052,758.0,8.71755,35.18775,105.6,29.18,0.0,17.56,1.87
211,,0.8,,0.052,758.0,8.71755,35.18775,105.6,29.11,0.0,17.47,1.87
212,,0.6,,0.042,1010.5,7.2479,35.153,142.9,26.45,0.0,19.51,1.76
213,,0.6,,0.042,1010.5,7.2479,35.153,142.9,26.38,0.0,19.71,1.78
214,,0.51,,,1213.0,6.77545,35.24005,168.6,23.59,0.01,19.03,1.57
215,,0.51,,,1213.0,6.77545,35.24005,168.6,23.62,0.0,18.83,1.56
216,,0.6,,0.039,1515.0,5.4962,35.1771,198.6,21.87,0.0,20.88,1.52
217,,0.6,,0.039,1515.0,5.4962,35.1771,198.6,21.98,0.0,20.29,1.5
218,,0.54,,0.032,1770.0,4.6759,35.1192,212.3,21.34,0.0,24.0,1.46
219,,0.54,,0.032,1770.0,4.6759,35.1192,212.3,21.36,0.0,23.91,1.47
240,,0.85,,0.023,35.0,26.1932,36.8235,203.0,0.01,0.0,0.58,0.05
241,,0.85,,0.023,35.0,26.1932,36.8235,203.0,0.01,0.0,0.49,0.04
242,,0.49,,0.02,56.0,24.0994,37.1594,220.4,0.0,0.0,0.49,0.02
243,,0.49,,0.02,56.0,24.0994,37.1594,220.4,0.0,0.0,0.58,0.01
244,,0.78,,,92.0,20.967,36.9269,173.2,0.57,0.18,0.88,0.15
245,,0.78,,,92.0,20.967,36.9269,173.2,0.6,0.18,0.97,0.14
246,,0.63,,0.039,112.0,19.387,36.6914,150.9,3.85,0.08,1.46,0.3
247,,0.63,,0.039,112.0,19.387,36.6914,150.9,4.06,0.08,1.36,0.3
248,,0.46,,0.039,136.0,17.979,36.5086,132.0,10.74,0.02,3.02,0.68
249,,0.46,,0.039,136.0,17.979,36.5086,132.0,10.66,0.02,3.02,0.67
250,,0.62,,0.041,187.0,16.7762,36.3492,144.6,11.08,0.01,3.41,0.67
251,,0.62,,0.041,187.0,16.7762,36.3492,144.6,11.05,0.01,3.31,0.68
252,,0.57,,0.054,238.0,15.4882,36.1097,128.3,13.51,0.01,4.48,0.82
253,,0.57,,0.054,238.0,15.4882,36.1097,128.3,13.46,0.01,4.48,0.82
254,,0.78,,,287.0,14.5673,35.9633,129.8,15.84,0.0,5.46,0.96
255,,0.78,,,287.0,14.5673,35.9633,129.8,15.81,0.01,5.27,0.96
256,,0.72,,0.066,424.0,12.3917,35.6479,115.7,21.03,0.0,8.29,1.27
257,,0.72,,0.066,424.0,12.3917,35.6479,115.7,20.85,0.0,8.29,1.26
258,,0.83,,0.093,672.0,8.8713,35.1683,93.3,30.23,0.0,17.17,1.91
259,,0.83,,0.093,672.0,8.8713,35.1683,93.3,30.16,0.0,17.17,1.91
260,,0.71,,,974.0,6.6138,35.0222,135.6,28.71,0.0,21.76,1.92
261,,0.71,,,974.0,6.6138,35.0222,135.6,28.76,0.0,21.57,1.92
262,,0.58,,0.039,1212.0,6.0111,35.1071,169.4,25.03,0.0,20.39,1.69
263,,0.58,,0.039,1212.0,6.0111,35.1071,169.4,24.97,0.0,20.3,1.68
264,,0.58,0.014,0.017,28.0,27.94185,35.766,199.05,0.0,0.0,0.88,0.04
265,,0.58,0.014,0.017,28.0,27.94185,35.766,199.05,0.0,0.0,0.98,0.03
266,,,,0.023,49.0,19.7874,36.0085,132.05,5.55,0.36,2.44,0.7
267,,,,0.023,49.0,19.7874,36.0085,132.05,5.47,0.35,2.54,0.68
268,,0.66,,0.02,89.0,15.50455,35.69895,52.6,23.28,0.03,6.92,1.52
269,,0.66,,0.02,89.0,15.50455,35.69895,52.6,23.29,0.03,6.92,1.52
270,,0.81,,0.035,110.0,14.93615,35.69635,59.7,23.5,0.02,7.31,1.51
271,,0.81,,0.035,110.0,14.93615,35.69635,59.7,23.55,0.01,7.61,1.51
272,,0.72,,0.041,136.0,14.12645,35.5779,65.2,24.39,0.0,8.19,1.57
273,,0.72,,0.041,136.0,14.12645,35.5779,65.2,24.43,0.0,8.19,1.57
274,,0.78,,,186.0,13.3025,35.49355,61.85,25.87,0.0,9.17,1.64
275,,0.78,,,186.0,13.3025,35.49355,61.85,25.91,0.0,9.17,1.64
276,,1.27,,,223.0,12.86725,35.4652,58.7,26.75,0.0,9.66,1.68
277,,1.27,,,223.0,12.86725,35.4652,58.7,26.73,0.0,9.95,1.68
278,,1.02,,,287.0,12.08775,35.3977,50.65,28.91,0.0,11.12,1.78
279,,1.02,,,287.0,12.08775,35.3977,50.65,28.88,0.0,11.02,1.77
280,,1.02,0.015,0.08,364.0,11.3024,35.3313,44.4,31.53,0.0,12.49,1.92
281,,1.02,0.015,0.08,364.0,11.3024,35.3313,44.4,31.55,0.0,12.68,1.93
282,,1.05,,0.054,671.0,8.38155,35.03815,71.5,34.1,0.0,19.32,2.17
283,,1.05,,0.054,671.0,8.38155,35.03815,71.5,34.12,0.0,19.13,2.17
284,,0.81,,0.038,804.0,7.2723,34.93755,87.3,34.37,0.0,22.35,2.22
285,,0.81,,0.038,804.0,7.2723,34.93755,87.3,33.97,0.0,22.25,2.21
286,,0.94,,,974.0,6.32705,34.91415,111.95,32.39,0.0,24.69,2.15
287,,0.94,,,974.0,6.32705,34.91415,111.95,32.28,0.0,24.4,2.15
288,,0.41,,0.036,1106.0,5.79715,34.945,136.35,29.63,0.0,23.52,1.97
289,,0.41,,0.036,1106.0,5.79715,34.945,136.35,29.66,0.0,23.42,1.98
290,,0.42,,0.033,1212.0,5.40555,34.96435,152.6,28.08,0.0,24.01,1.91
291,,0.42,,0.033,1212.0,5.40555,34.96435,152.6,28.04,0.0,24.2,1.91
292,,0.43,,,1249.0,5.2596,34.9728,158.8,27.56,0.0,23.71,1.85
293,,0.43,,,1249.0,5.2596,34.9728,158.8,27.59,0.0,23.52,1.85
294,,0.42,,,1400.0,4.7881,34.9877,179.8,25.4,0.0,23.32,1.73
295,,0.42,,,1400.0,4.7881,34.9877,179.8,25.42,0.0,23.52,1.73
296,,0.57,,0.037,1555.0,4.3527,34.9858,199.3,24.0,0.0,23.13,1.63
297,,0.57,,0.037,1555.0,4.3527,34.9858,199.3,23.99,0.0,23.32,1.63
298,,0.95,,,1808.0,3.9204,34.9795,215.0,22.55,0.0,24.4,1.54
299,,0.95,,,1808.0,3.9204,34.9795,215.0,22.56,0.0,24.2,1.54
300,,0.79,,0.025,1905.0,3.7679,34.9755,219.8,22.2,0.0,24.59,1.51
301,,0.79,,0.025,1905.0,3.7679,34.9755,219.8,22.21,0.0,24.88,1.52
312,,0.84,0.027,0.019,32.0,27.0735,36.27185,201.5,0.0,0.01,0.39,0.04
313,,0.84,0.027,0.019,32.0,27.0735,36.27185,201.5,0.01,0.0,0.49,0.03
314,,0.47,,0.018,51.0,19.56015,36.12005,125.65,16.03,0.44,3.9,1.13
315,,0.47,,0.018,51.0,19.56015,36.12005,125.65,16.26,0.44,4.0,1.17
316,,1.22,,0.041,85.0,15.45935,35.6939,59.65,24.72,0.03,6.83,1.53
317,,1.22,,0.041,85.0,15.45935,35.6939,59.65,24.64,0.03,6.93,1.52
318,,1.17,0.052,,102.0,14.65485,35.6018,61.95,25.09,0.02,7.61,1.56
319,,1.17,0.052,,102.0,14.65485,35.6018,61.95,25.14,0.02,7.8,1.56
320,,0.88,,,142.0,14.0325,35.6152,74.15,24.56,0.01,8.39,1.53
321,,0.88,,,142.0,14.0325,35.6152,74.15,24.48,0.01,8.29,1.52
322,,1.16,0.079,0.033,187.0,12.93905,35.41515,75.3,25.77,0.01,9.27,1.61
323,,1.16,0.079,0.033,187.0,12.93905,35.41515,75.3,25.78,0.01,9.27,1.62
324,,1.19,,0.054,237.0,12.5862,35.41865,71.2,26.57,0.0,9.76,1.65
325,,1.19,,0.054,237.0,12.5862,35.41865,71.2,26.52,0.01,9.66,1.65
326,,1.23,,0.084,293.0,12.03755,35.3901,59.15,28.9,0.01,10.93,1.77
327,,1.23,,0.084,293.0,12.03755,35.3901,59.15,28.93,0.01,10.83,1.76
328,,1.2,,0.056,424.0,10.68465,35.26465,52.9,32.35,0.0,13.66,1.97
329,,1.2,,0.056,424.0,10.68465,35.26465,52.9,32.28,0.0,13.85,1.96
330,,0.99,,0.047,503.0,9.8256,35.16605,56.0,33.51,0.0,15.51,2.09
331,,0.99,,0.047,503.0,9.8256,35.16605,56.0,33.49,0.0,15.81,2.06
332,,0.86,,0.038,671.0,8.2156,35.0084,70.55,34.84,0.0,19.81,2.33
333,,0.86,,0.038,671.0,8.2156,35.0084,70.55,34.83,0.0,20.3,2.28
334,,0.79,,0.035,807.0,7.07475,34.9084,88.15,34.73,0.0,22.93,2.28
335,,0.79,,0.035,807.0,7.07475,34.9084,88.15,34.65,0.0,22.84,2.27
336,,0.84,,0.031,973.0,6.2476,34.9183,119.0,32.23,0.0,23.91,2.14
337,,0.84,,0.031,973.0,6.2476,34.9183,119.0,32.24,0.0,23.62,2.14
338,,1.15,,0.035,1111.0,5.8481,34.9598,140.0,29.74,0.0,23.42,1.98
339,,1.15,,0.035,1111.0,5.8481,34.9598,140.0,29.8,0.0,23.71,1.99
340,,1.06,,0.031,1262.0,5.416,34.9878,159.7,27.63,0.0,23.42,1.85
341,,1.06,,0.031,1262.0,5.416,34.9878,159.7,27.67,0.0,23.23,1.86
342,,0.63,,0.031,1514.0,4.6415,35.0075,192.0,24.43,0.0,23.13,1.65
343,,0.63,,0.031,1514.0,4.6415,35.0075,192.0,24.43,0.0,23.32,1.66
344,,0.76,0.027,0.031,1770.0,4.1075,34.9957,211.0,22.81,0.0,24.4,1.55
345,,0.76,0.027,0.031,1770.0,4.1075,34.9957,211.0,22.82,0.0,24.2,1.54
